	RQ1. Symptoms				RQ2. Causes		RQ3. Repairs		RQ4. Impacts
TIKA-2404	I got an XMLException when try to extract text from DOCX file	1. Crash	none	none	"at org.apache.tika.parser.CompositeParser.parse(CompositeParser.java:280)
 ... 16 more
Caused by: org.apache.poi.POIXMLException

Without significant work, we can't fix this in POI's DOM parser. "	3.1 Problems in my libraries	The workaround is to use our currently experimental SAX parser. 	3.6 Implementing wrappers	https://tika.apache.org/1.24/api/org/apache/tika/parser/microsoft/OfficeParserConfig.html#setUseSAXDocxExtractor
TIKA-2201	"The following document, which is not particularly big, causes an OOM in Tika parser"	1. Crash	TIKA-2210	resolved	"Without significant work, we can't fix this in POI's DOM parser."	3.1 Problems in my libraries	The workaround is to use our currently experimental SAX parser. 	3.6 Implementing wrappers	https://tika.apache.org/1.24/api/org/apache/tika/parser/microsoft/OfficeParserConfig.html#setUseSAXDocxExtractor
THRIFT-4044	Every Travis CI build job has been failing for weeks 	3. Build and testing error	none	none	"Downloading hspec-core-2.4.0...
Configuring hspec-core-2.4.0...
Building hspec-core-2.4.0...
Preprocessing library hspec-core-2.4.0...

The root cause will be tracked here:

https://github.com/hspec/hspec/issues/306

I believe this is a bug in hspec-core 2.4.0."	3.1 Problems in my libraries	We are limiting hspec-core to a version below 2.4.0 until that team resolves the issue.	3.2 Switching to older versions	
THRIFT-3965	VisualStudio project cannot build compiler CPP project	3. Build and testing error	THRIFT-3973	open	"The project's t_generator.h want to use the header file version.h
The file does not exist but version.h.in is there and looks to be expected by the CMake build's CMakeLists.txt"	4.3 Problems in languages	As a workaround I just copied version.h.in to version.h.	2.3 Modifying build files or options	
THRIFT-3358	Makefile:1362: *** missing separator. Stop.	3. Build and testing error	none	none	Recommend you use the cmake build environment to resolve.	4.4 Incorrect techniques	"I just tried building Thrift and got an error

Haven't seen the issue in quite some time (and it hasn't been updated). Recommend you use the cmake build environment to resolve."	2.3 Modifying build files or options	
SYSTEMML-1071	Univar-Stats.dml fails for 8G medium scenario (runUnivar-Stats_A_1M) with below stack trace. Note smaller and larger (80G) scenarios completed without error.	1. Crash	SYSTEMML-1044	closed	It also correctly reported the dimension mismatch due to incomplete data to be addressed in SYSTEMML-1044.	2.5 Borderline cases	"To workaround test data generation issue SYSTEMML-1044, used MR to successfully create 8GB data:

./genDescriptiveStatisticsData_1M.sh gwperftest MR &>> logs/genStatsData.out

Univar-Stats.dml completed successfully (no dimension mismatch) against the complete data set:"	4.3 Switching to other techniques	
SYNAPSE-1098	"The only issue is with the Content-Type in the HTTP header. I am able to set the header to ""application/multipart-related"" but unable to get the boundary added to the content-type. "	2. Unexpected behavior	none	none		3.2 Problems in my clients	Resolved this by adding custom content type to the HTTP header in the custom mediator class.	3.9 Modifying API calls	
SSHD-754	Starting from Putty plink 0.68 (also includes plink 0.69) we started to have OOM errors. 	1. Crash	none	none	"It looks like starting from April 2016, plink enables 'simple' mode for SSH.

Starting from 0.68 it sends 2GB (0x7fffffff) as receive window size. That makes SSHD library to be vulnerable for OOM."	3.2 Problems in my clients	"// The workaround for VCS-797
    // and https://issues.apache.org/jira/browse/SSHD-754
    // the trick is to block writer thread once there are more
    // than 100 messages in either rekey wait queue or nio write queue

Added capability to register a ChannelStreamPacketWriterResolver through which one can wrap the channel inside one's own code that can do throttling. See also (experimental) ThrottlingPacketWriter example in sshd-contrib module."	2.4 Repairing as technical debts	
SPOT-26	DNS Packets with dns.flags.rcode=1 cause ml_ops.sh to crash	1. Crash	none	none	DNS Packets with dns.flags.rcode=1 cause ml_ops.sh to crash	2.5 Borderline cases	"The workaround is to exclude packets with that rcode (via appending ""and dns.flags.rcode != 1"" to process_opt in ingest_conf.json), but this is not desirable"	2.2 Modifying my settings	
SPOT-200	" it seems that when running the spark-submit task from worker.py in spot-ingest/pipelines/proxy/worker.py the spark runner cannot find the kafka/common/TopicAndPartition class, so then begins failing in a massive way (26k lines of errors as each of the threads die)"	1. Crash	SPOT-206		"This appears to have been an issue with the fact that I was running on the version of Spark (1.6) which is listed in the documentation. After reading another bug stating that you are now working on Spark2, I rebuilt the cluster (albeit in HDP rather than CDH) and now the issue no longer occurs."	"3.1 Problems in my libraries
1.2 Fixed by newer versions"	"This appears to have been an issue with the fact that I was running on the version of Spark (1.6) which is listed in the documentation. After reading another bug stating that you are now working on Spark2, I rebuilt the cluster (albeit in HDP rather than CDH) and now the issue no longer occurs."	3.3 Switching to newer versions	
SPARK-22711	When I submit a Pyspark program with spark-submit command this error is thrown.	1. Crash	none	open	"Yes, normally you would not need to import inside the functions.  I think it is because the wordnet module initializes lazily, so when cloudpickle tries to pickle it, it is not complete and something is missed"	3.2 Problems in my clients	"as a workaround if you import wordnet in your function, it seems to work fine"	3.9 Modifying API calls	
SPARK-20394	"I have set dfs.replication is equal to ""1"" in hiveContext object. But It did not work properly. That is replica is 1 for 80 % of the generated parquet files on HDFS and default replica 3 is for remaining 20 % of parquet files in HDFS. I am not sure why the replica is not reflecting to all the generated parquet files."	2. Unexpected behavior	none	none	"I have set dfs.replication is equal to ""1"" in hiveContext object. But It did not work properly. 

IIRC Spark 1.6 doesn't propagate the HiveContext configuration to the Hive library in some cases."	2.7 Problems in settings	"Have you tried setting the replication to 1 in your hdfs-site.xml?

I have edited the hdfs-site.xml for replication value change and override the existing Spark environment. It works now."	2.2 Modifying my settings	
SPARK-14203	"Error in query: Columns of grouping_id (i_class#170) does not match grouping columns (i_category#172,i_class#170);"	2. Unexpected behavior	none	none	Error in query: Columns of grouping_id (i_class#170) does not match grouping columns	3.2 Problems in my clients	grouping(i_class) works..	3.9 Modifying API calls	
SPARK-13863	Query 66 returns wrong results compared to official result set	2. Unexpected behavior	SPARK-13861	closed	"Please check if the table definition is different.

Thus, the accuracy could be caused by the wrong table definition"	3.2 Problems in my clients	"after I modified the DDL to use ""decimal(7,2)"" for the ""double"" colums as documented in the tpc-ds specs and the query return the following results both from Hive and Spark SQL"	3.9 Modifying API calls	
SPARK-13612	Multiplication of BigDecimal columns not working as expected	2. Unexpected behavior	none	none	"Because the internal type for BigDecimal would be Decimal(38, 18) by default, (you can print the schema of x and y), the result scale of x(""a"") * y(""b"") will be 18 + 18 = 36. That is detected to have overflow so you get a null value back."	3.2 Problems in my clients	As of now we are using the below workaround	3.9 Modifying API calls	
SPARK-13246	I noticed that a job reading avro files would have some tasks that never finish. Looking at the threads they got stuck in	"4. Hang

"	AVRO-1773	closed	"The issue is that Schema.parse is not thread safe, and i have multiple tasks calling this method in the same executor.
See here:
https://issues.apache.org/jira/browse/AVRO-1773"	3.1 Problems in my libraries	Workaround is build spark with hadoop included (not provided).	2.3 Modifying build files or options	
SPARK-11516	Spark application cannot be found from JSON API even though it exists	2. Unexpected behavior	none	none	"any JSON API calls other than the /api/v1/applications call require eventLogging to be enabled

Note that this information is only available for the duration of the application by default. To view the web UI after the fact, set spark.eventLog.enabled to true before starting the application. This configures Spark to log Spark events that encode the information displayed in the UI to persisted storage."	2.7 Problems in settings	Closing as Workaround since turning on eventLogging fixes this	2.2 Modifying my settings	https://spark.apache.org/docs/latest/monitoring.html
SOLR-9958	"The FileSystem used by HdfsBackupRepository gets closed before the backup completes.

My shards get backed up correctly, but then it fails when backing up the state from ZK. "	1. Crash	SOLR-11335	resolved	"it looks like something else closed FileSystem from out under the repo
This may just be a bug in the underlying Google cloud storage impl"	4.1 Problems in operating systems	"Short term fix is to make sure that ""fs.SCHEME.impl.disable.cache=true"" for whatever filesystem you are using if it is NOT HDFS.

SOLR-11473 would be the long term fix"	1.1 Fixed problems	
SOLR-9862	"When i start Solr, I get a message that does not allow Solr to startup"	1. Crash	none	none	"OS: Solaris
JAVA: 1.8.0_111

I think this is a Solaris problem"	4.1 Problems in operating systems	"set the JAVA_VER=8 seeing that the debug information says that Solr picks up the right version
"	4.1 Modifying operating systems	
SOLR-9643	"Either value of ngroups in grouped query is inaccurate or there is some issue in returning documents of later pages.

select?q=:&group=true&group.field=family&group.ngroups=true&start=0&group.limit=1

For above mentioned query i get ngroups = 396324
but for the same query when i modify start to 396320. it returns 0 docs, an empty page."	2. Unexpected behavior	none	none	"you don't mention whether or not your collection is sharded, if it is sharded then the Distributed Result Grouping Caveats might apply to the behaviour you observe i.e.

... group.ngroups and group.facet require that all documents in each group must be co-located on the same shard in order for accurate counts to be returned. ..."	4.1 Problems in operating systems	"guess i will have to co-locate common group results on the one shard.
Let's consider why co-locating documents with the same group works.
The easiest way to co-locate is to have all documents on one shard:"	4.1 Modifying operating systems	https://lucene.apache.org/solr/guide/8_3/result-grouping.html#ResultGrouping-DistributedResultGroupingCaveats
SOLR-9448	"[subquery] calls another collection fails with ""undefined field"" or NPE from mergeIds"	1. Crash	none	none	"In a rare case when a collection under subquery has no unqueKey at all, it leads to something like ""undefined field""

pass unnecessary query parsing.

Don't we need to bypass query parsing in QueryComponent.prepare() when it's followed by distributed processing? "	2.5 Borderline cases	"SOLR-9448.patch proposes a workaround (when a collection for subquery has a different uniqueKey):

add field alias for expected uniqueKey: subq.fl=id:subq_coll_id
add subq.distrib.singlePass=true"	2.2 Modifying my settings	
SOLR-8876	"Morphlines fails with ""No command builder registered for ..."" when using Java 9"	1. Crash	https://github.com/kite-sdk/kite/issues/469	none	"Using wildcards like * and ** in morphline's importCommands config options do not work in java9

Root issue appears to be a (non-test) bug in how morphlines parses it's config file.

This classpath scanning doesn't work in java9 (likely due to the way the ClassLoader specifics have changed)"	4.2 Problems in languages	It appears that this limitation can be worked arround by having a config which explicitly identifies all of the *Builder classes needed for the config	2.2 Modifying my settings	
SOLR-6209	"You can clearly see that there is just only ""Time Elapsed"" parameter increase. ""Total Rows Fetched"" & ""Total Documents Processed"" remains same for infinite time."	"4. Hang

"	none	none	it seems the JDBC driver get stuck in the middle of a read	3.1 Problems in my libraries	"We are connecting to Oracle and our datasoure definition looks like this:

<dataSource name=""jdbc"" driver=""oracle...."" url=""..."" autoCommit=""false"" batchSize=""1000"" transactionIsolation=""TRANSACTION_READ_COMMITTED"" oracle.net.READ_TIMEOUT=""300000"" oracle.jdbc.ReadTimeout=""300000"" />"	3.4 Modifying the settings of libraries	
SOLR-13463	Solr admin user credentials defined with -Dbasicauth property during start is visible in admin UI to any user.	5. Security threat	none	none	"Please use the option to store pw in a file instead, see ref guide."	2.7 Problems in settings	"it worked fine now. Earlier when I was using ""-Dsolr.httpclient.config="" property pointing to basicAuth.conf file in which I defined username:password format which is incorrect. Instead username and password should be in below format to make it working."	2.2 Modifying my settings	https://lucene.apache.org/solr/guide/7_7/solr-control-script-reference.html#enabling-basic-authentication
SOLR-11386	I'm getting some extremely strange behavior when trying to extract features for a learning to rank model. The following query incorrectly says all features have zero values	2. Unexpected behavior	none	none	"According to your solr feature definition and your efi (efi.case_description), that is equivalent to a phrase query

the issue is that the FieldQParser automatically converts multiple terms into phrases"	2.7 Problems in settings	"I believe I've discovered a workaround. If you use:

    {
        ""store"": ""redhat_efi_feature_store"",
        ""name"": ""case_description_issue_tfidf"",
        ""class"": ""org.apache.solr.ltr.feature.SolrFeature"",
        ""params"": {
            ""q"":""{!dismax qf=text_tfidf}${text}""
        }
    }
instead of:

    {
        ""store"": ""redhat_efi_feature_store"",
        ""name"": ""case_description_issue_tfidf"",
        ""class"": ""org.apache.solr.ltr.feature.SolrFeature"",
        ""params"": {
            ""q"": ""{!field f=issue_tfidf}${case_description}""
        }
    }
you can then use single quotes to incorporate multi-term arguments as Alessandro Benedetti suggested."	2.2 Modifying my settings	https://lucene.apache.org/solr/guide/6_6/analyzers.html#Analyzers-AnalysisforMulti-TermExpansion
SOLR-11369	Zookeeper credentials are showed up on the Solr Admin GUI	5. Security threat	none	none	"In Solr 6.6.X, sensitive property redaction was not enabled by default. "	2.7 Problems in settings	"SOLR-10076 fixed this by default in 7.0, to not show system properties that contain ""password"" (case-insensitively). You can modify the system properties to hide by setting system property solr.redaction.system.pattern"	"3.3 Switching to newer versions
2.2 Modifying my settings"	
SOLR-11335	I'm seeing issues where the Hadoop FileSystem instance is closed out from under other objects. 	1. Crash	SOLR-9958	resolved	I'm seeing issues where the Hadoop FileSystem instance is closed out from under other objects. 	4.1 Problems in operating systems	"if I set the fs.$SCHEME.impl.disable.cache to true, then my problems go away,

Marking this as resolved with workaround. SOLR-11473 would be the long term fix. Short term fix is to make sure that ""fs.SCHEME.impl.disable.cache=true"" for whatever filesystem you are using if it is NOT HDFS."	1.1 Fixed problems	
SOLR-11049	Do we need to be worried about the fact that the failed upload took 24 seconds?	6. Performance issue	none	none		1.1 Fixed by related issues	SOLR-11250 in 7.2 adding a DefaultWrapperModel class for loading of large and/or externally stored LTRScoringModel definitions.	3.6 Implementing wrappers	
SENTRY-951	"move hive warehouse dir to /hive, the dir doesn't have hive:hive as owner."	2. Unexpected behavior	none	none	"1. we can do doc to warn user explicitly configure hive:hive to warehouse dir; like /user/hive/warehouse
2. we can change from sentry code to force it to be hive:hive;

Both 1 and 2 are new features, not bug. But if we don't do 1 or 2, there will be a lot of permission issues for hcat, spark, and hive"	3.2 Problems in my clients	"all those changes are inside the patch I posted for the e2e test on mini cluster I added. And step is as you described:
1. mkdir /hive and set the ownership to be hdfs:supergroup;
2. add /hive into sentry prefix:
hadoopConf.set(""sentry.authorization-provider.hdfs-path-prefixes"", ""/user/hive/warehouse,/tmp/external,/hive"");
3. and make it as warehouse dir.
hiveConf.set(""hive.metastore.warehouse.dir"", ""hdfs:///hive"");
4. getAclStatus gets hive:hive."	2.2 Modifying my settings	
RNG-38	Wrong badge on Github	3. Build and testing error	none	none	"The ""README.md"" file should not be re-generated before there is a solution to COMMONSSITE-90 for modular components."	3.1 Problems in my libraries	Badges were manually added.	2.2 Modifying my settings	
RANGER-2149	REST search queries make Ranger incredibly slow	6. Performance issue	none	none	MySQL 5.1 is not recommended for Ranger	"1.2 Fixed by newer versions
3.1 Problems in my libraries"	"MySQL 5.1 is not recommended for Ranger, if possible use 5.6"	3.3 Switching to newer versions	
PLC4X-116	Build fails	3. Build and testing error	none	none	"If the ""with-proxies"" profile is enabled, the build should succeed."	2.7 Problems in settings	"If the ""with-proxies"" profile is enabled, the build should succeed."	2.3 Modifying build files or options	
PDFBOX-4396	 I suspect that G1 is not collecting soft references across all regions before it out-of-memory errors.	1. Crash	PDFBOX-4668	open	I suspect that G1 is not collecting soft references across all regions before it out-of-memory errors.	4.2 Problems in languages	"I think at this point I'll close this, like the other, as not something trivially fixable. I do think better resource handing is warranted, but that requires a thoughtful refactor.

there have not been any related changes."	1.2 Unfixed problems	
OPENNLP-1129	"https://github.com/apache/opennlp/tree/opennlp-1.6.0

Shows zero files and the release zip on github is just an empty file. "	3. Build and testing error	https://github.com/apache/opennlp/tree/opennlp-1.6.0	none	"on the same date (Dec 10, 2014) there is also an opennlp-1.6.0-rc1 tag. I am guessing it was used instead of opennlp-1.6.0"	4.3 Problems in languages	I think it will be ok to close this.	1.2 Unfixed problems	
OPENMEETINGS-1575	Moodle not logging with user soap in OpenMeetings 3.2.0	2. Unexpected behavior	none	none	"Before it works with OpenMeetings 3.1.3

New version of the plugin is required for OM 3.2.x
Plugin is available here: https://github.com/openmeetings/openmeetings-moodle-plugin"	"1.2 Fixed by newer versions
3.1 Problems in my libraries"	"New version of the plugin is required for OM 3.2.x
Plugin is available here:"	3.3 Switching to newer versions	
OPENJPA-2671	Wrong type mapping for double in HSQLDB	2. Unexpected behavior	none	none	"Currently, Java type double is mapped to NUMERIC for HSQLDB
This seems wrong to me, as HSQLDB's NUMERIC is not a binary floating point type, but represents exact decimal numbers and maps to Java type BigDecimal 

I agree that DOUBLE is a better fit, but am a bit frightened that we might introduce a backward incompatibility for where it did work fine.
There is a trick which you can use and we still don't loose backward compatibility for other users

To be honest I'm not quite sure whether we should fix that. The proposed change makes us technically more correct.
But we might break quite a few projects if we change this now. And there is a workaround by manually defining the mapping type."	2.2 Incompatible issues	"There is a trick which you can use and we still don't loose backward compatibility for other users:
You can tweak each DBDictionary in your persistence.xml
Please try the following:
<persistence>
¡­"	2.2 Modifying my settings	https://openjpa.apache.org/builds/3.1.0/apache-openjpa/docs/ref_guide_dbsetup_dbsupport.html
OLINGO-926	Batch Request fails if request line is absolute	2. Unexpected behavior	none	none	"The mentioned URLs relative to the host
GET /ReferenceScenario.svc/Employees HTTP/1.1
are actual not supported by Olingo.

However I agree with you that URLs relative to the host are specified in RFC7230 (in chapter 5.3.1. origin-form) and also allowed in OData V2.

I will check for a fix and give feedback."	2.7 Problems in settings	"with an absolute URL
GET http://localhost:8080/ReferenceScenario.svc/Employees HTTP/1.1
are allowed.

Hi Michael,

I've adjusted my OData client to use the absolute URL as proposed. This seems to work great for all kind of requests"	"4.3 Switching to other techniques
"	
